Categoría;Subcategoría
19;Medicamentos de venta libre
19;Equipo de spa y salón
19;Afeitado y depilación
19;Cuidado de la piel
19;Protección solar y bronceador
19;Tatuajes y arte corporal
19;Cuidado de la vista
19;Control de peso
19;Lotes al por mayor
19;Otros
20;Baño
20;Ropa de cama
20;Comida y bebidas
20;Flores naturales y suministros
20;Muebles
20;Tarjetas y suministros para fiestas
20;Decoración festiva y de temporada
20;Decoración para el hogar
20;Artículos para mejoras del hogar
20;Materiales de limpieza para el hogar
20;Niños y adolescentes
20;Cocina, comedor y bar
20;Lámparas, luces y ventiladores de techo
20;Electrodomésticos grandes
20;Alfombras y tapetes
20;Herramientas
20;Suministros para soldadura
20;Decoración y herrajes para ventanas
20;Patio, jardín y espacios abiertos
20;Lotes al por mayor
20;Otros
21;Joyas infantiles
21;Compromiso y boda
21;Étnicos, regionales y tribales
21;Joyas de moda
21;Joyería fina
21;Joyas artesanales, hechas a mano
21;Joyeros y organizadores de joyas
21;Diseño y reparación de joyas
21;Cuentas sueltas
21;Diamantes y gemas sueltos
21;Joyas para hombres
21;Joyas vintage y antiguas
21;Relojes
21;Otros
22;Casetes
22;CD
22;Discos
22;Otros formatos
22;Almacenamiento y accesorios para videos
22;Lotes al por mayor
23;Acordeones y concertinas
23;Latón
23;Equipo
23;Guitarra
23;Armónica
23;Libros, CD y videos de instrucciones
23;Karaoke
23;Percusión
23;Pianos, órganos y teclados
23;Equipo de audio profesional
23;Partituras y cancioneros
23;Iluminación y efectos de escenario
23;Cuerdas
23;Instrumentos de viento-madera
23;Lotes al por mayor
23;Otros
24;Aves de corral
24;Aves
24;Gatos
24;Perros
24;Peces y acuarios
24;Caballos
24;Reptiles
24;Animales pequeños
24;Lápidas y urnas
24;Otros
25;Vidrio
25;Cerámica y porcelana
26;Comerciales
26;Terreno
26;Casas prefabricadas
26;Residenciales
26;Tiempos compartidos a la venta
26;Otros bienes raíces
27;Servicios artísticos
27;Ropa y joyería a la medida
27;Servicios de subastas de eBay
27;Diseño gráfico y de logotipos
27;Servicios para mejoras del hogar
27;Servicios basados en artículos
27;Edición y duplicado de medios
27;Impresión y personalización
27;Restauración y reparación
27;Servicios Web e informáticos
27;Otros servicios
28;Boxeo, artes marciales y artes marciales mixtas (MMA)
28;Ciclismo
28;Pesca
28;Fitness, running y yoga
28;Golf
28;Cacería
28;Juegos en interiores
28;Deportes al aire libre
28;Deportes de equipo
28;Tenis y deportes con raqueta
28;Deportes acuáticos
28;Deportes de invierno
28;Otros
28;Lotes al por mayor
29;Autógrafos (original)
29;Autógrafos (reimpresos)
29;Tarjetas
29;Ropa para aficionados y recuerdos
29;Memorabilia de juegos usada
29;Autenticada por el fabricante
29;Memorabilia de deportes antigua
29;Lotes al por mayor
30;Estados Unidos
30;Canadá
30;Gran Bretaña
30;África
30;Asia
30;Australia y Oceanía
30;Colonias británicas y territorios
30;Caribe
30;Europa
30;Latinoamérica
30;Oriente Medio
30;Mundiales
30;Estampillas tropicales
30;Filatelia especializada
30;Publicaciones y suministros
30;Otros
31;Boletos para deportes
31;Boletos para conciertos
31;Boletos para el teatro
31;Pases para parques temáticos y clubes
31;Pases de estacionamiento
31;Experiencias especiales
31;Otros
32;Figuras de acción
32;Afelpados con pelotas de semillas
32;Juguetes de construcción
32;Juguetes clásicos
32;Vehículos de presofusión y de juguete
32;Educativos
32;Electrónicos, baterías y a cuerda
32;Juguetes de comida rápida y cereales
32;Juegos
32;Canicas
32;Modelos de ferrocarriles y trenes
32;Modelos y juegos
32;Juguetes y estructuras para exterior
32;Juguetes preescolares y juegos de roles
32;Rompecabezas
32;Control por radio y mando
32;Robots, monstruos y juguetes del espacio
32;Automóviles con ranuras
32;Animales de peluche
32;Soldados de juguete
32;Juegos de cartas intercambiables
32;Juguetes de personajes, TV y películas
32;Juguetes antiguos
33;Línea aérea
33;Camping y casas rodantes
33;Alquiler de automóviles
33;Cruceros
33;Alojamiento
33;Equipaje
33;Accesorios para equipaje
33;Mapas
33;Ferrocarril
33;Accesorios de viaje
33;Paquetes de vacaciones
33;Otros
34;Videojuegos
34;Consolas de videojuego
34;Accesorios de videojuegos
34;Tarjetas de juego prepagadas
34;Piezas y herramientas de repuesto
34;Guías de estrategia y trampas
34;Productos de videojuegos
34;Otros
35;Solo para adultos
35;Desarrollo profesional y educación
35;Ofertas especiales de eBay
35;Herramientas de usuario de eBay
35;Funeral y cementerio
35;Genealogía
35;Productos de información
35;Metafísica
35;Desarrollo personal
35;Seguridad personal
35;Productos y suministros religiosos
35;Programa de puntos e incentivos
35;Artículos extraños
35;Otros
